Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
lü l'à dìt: « adès pò ché te ma scaperé miga,lui ha detto: « adesso non mi scapperai,<sos> lü l'à dìt adès pò ché te ma scaperé miga <eos>,<sos> lui ha detto adesso non mi scapperai <eos>
e pò 'l ga dìh e:,e il Signore dice:,<sos> e pò 'l ga dìh e <eos>,<sos> e il signore dice <eos>
à trà d'fò töt chi che gh'éra dét en ne bòte,a tirar fuori tutti quelli che erano nascosti,<sos> à trà d'fò töt chi che gh'éra dét en ne bòte <eos>,<sos> a tirar fuori tutti quelli che erano nascosti <eos>
— l'è a èh bù de htà al mónt! — al dìh,— bisogna esser capaci di stare al mondo! —,<sos> l'è a èh bù de htà al mónt ! al dìh <eos>,<sos> bisogna esser capaci di stare al mondo ! <eos>
ùrå che l'érå hö,prima di arrivare,<sos> ùrå che l'érå hö <eos>,<sos> prima di arrivare <eos>
só gna' se gh'è di Rè-Serpènte perchè nóter,"non so neppure se ci sia un Re-Serpente, perché noi",<sos> só gna' se gh'è di rè-serpènte perchè nóter <eos>,"<sos> non so neppure se ci sia un re-serpente , perché noi <eos>"
'l hömèa fina che i s-ciòpe i vulcani gió de hóta,sembra perfino che esplodano i vulcani giù sotto,<sos> 'l hömèa fina che i s-ciòpe i vulcani gió de hóta <eos>,<sos> sembra perfino che esplodano i vulcani giù sotto <eos>
"e gliùrå 'l s'è hentàt gió, l'à mangiàt",così l'orco s'è seduto a mangiare,"<sos> e gliùrå 'l s'è hentàt gió , l'à mangiàt <eos>",<sos> così l'orco s'è seduto a mangiare <eos>
l'è 'ndàdå déter en de 'sto castèl,è entrata nel castello,<sos> l'è 'ndàdå déter en de 'sto castèl <eos>,<sos> è entrata nel castello <eos>
'n punì de erdürå,un po' di verdura,<sos> 'n punì de erdürå <eos>,<sos> un po' di verdura <eos>
'l fà 'ndà amò 'hto rémo,muove ancora il remo,<sos> 'l fà 'ndà amò 'hto rémo <eos>,<sos> muove ancora il remo <eos>
— hé hé — 'l dìs —,— sì,<sos> hé hé 'l dìs <eos>,<sos> sì <eos>
e purtévie,e portateli,<sos> e purtévie <eos>,<sos> e portateli <eos>
m'endarà 'n dol bósch,andremo nel bosco,<sos> m'endarà 'n dol bósch <eos>,<sos> andremo nel bosco <eos>
pò è 'ndàc on dol lèt,poi sono andati a letto,<sos> pò è 'ndàc on dol lèt <eos>,<sos> poi sono andati a letto <eos>
la ócå,l'oca,<sos> la ócå <eos>,<sos> l'oca <eos>
menemà 'l và,così parte,<sos> menemà 'l và <eos>,<sos> così parte <eos>
'ta lü 'l pahtùr al fà:,e il pastore:,<sos> 'ta lü 'l pahtùr al fà <eos>,<sos> e il pastore <eos>
e lü gliùrå 'sto Juanì 'l l'à deśligàt fò,allora l'ha slegato,<sos> e lü gliùrå 'sto juanì 'l l'à deśligàt fò <eos>,<sos> allora l'ha slegato <eos>
a edì che i gh'ìa tacàt sö ì bràs,nel vedersi le due braccia riattaccate,<sos> a edì che i gh'ìa tacàt sö ì bràs <eos>,<sos> nel vedersi le due braccia riattaccate <eos>
la tò spùśå,la tua sposa,<sos> la tò spùśå <eos>,<sos> la tua sposa <eos>
e là 'm và de dét,entriamo,<sos> e là 'm và de dét <eos>,<sos> entriamo <eos>
ma tàt grànc,tanto grandi,<sos> ma tàt grànc <eos>,<sos> tanto grandi <eos>
sénså ìgå amò de finì de livrale,senza aver ancora finito di consumarle,<sos> sénså ìgå amò de finì de livrale <eos>,<sos> senza aver ancora finito di consumarle <eos>
öe dumandàt amò ü piasér,voglio chiederti ancora un piacere,<sos> öe dumandàt amò ü piasér <eos>,<sos> voglio chiederti ancora un piacere <eos>
e gliùra 'sto poér òm,allora il pover'uomo,<sos> e gliùra 'sto poér òm <eos>,<sos> allora il pover'uomo <eos>
sùpplica,supplicala,<sos> sùpplica <eos>,<sos> supplicala <eos>
l'àrès pensàt lü,ci avrebbe pensato lui,<sos> l'àrès pensàt lü <eos>,<sos> ci avrebbe pensato lui <eos>
perchè he ma ha möe de ché,altrimenti,<sos> perchè he ma ha möe de ché <eos>,<sos> altrimenti <eos>
la 'à a domandaga ala mama,chiede alla mamma,<sos> la 'à a domandaga ala mama <eos>,<sos> chiede alla mamma <eos>
mé dumà de matìnå,per domani mattina,<sos> mé dumà de matìnå <eos>,<sos> per domani mattina <eos>
al tira i hò réc,tira le reti,<sos> al tira i hò réc <eos>,<sos> tira le reti <eos>
gna' chi che ciamà-å,né quelli che lo chiamavano,<sos> gna' chi che ciamà-å <eos>,<sos> né quelli che lo chiamavano <eos>
e ói vedì,voglio vedere,<sos> e ói vedì <eos>,<sos> voglio vedere <eos>
alògio e mangià a töi chi che paha,cibo e alloggio a tutti quelli che passeranno,<sos> alògio e mangià a töi chi che paha <eos>,<sos> cibo e alloggio a tutti quelli che passeranno <eos>
"jü 'l sàltå fò, 'l dìs: — éh i harà pò i uśèi che",uno dice: — saranno gli uccelli che,"<sos> jü 'l sàltå fò , 'l dìs éh i harà pò i uśèi che <eos>",<sos> uno dice saranno gli uccelli che <eos>
e lü 'l n'à metìt sö,lui ne ha messo,<sos> e lü 'l n'à metìt sö <eos>,<sos> lui ne ha messo <eos>
lùr i è partìc,loro sono partiti,<sos> lùr i è partìc <eos>,<sos> loro sono partiti <eos>
apénå finìt,appena celebrate,<sos> apénå finìt <eos>,<sos> appena celebrate <eos>
"'m hè htöf a' nóter, am dórma —","anche noi siamo stanchi, dormiremo —","<sos> 'm hè htöf a' nóter , am dórma <eos>","<sos> anche noi siamo stanchi , dormiremo <eos>"
e gliùrå,allora,<sos> e gliùrå <eos>,<sos> allora <eos>
con chile trèi cavre ché,con queste tre capre,<sos> con chile trèi cavre ché <eos>,<sos> con queste tre capre <eos>
arda — 'l dìh —,guarda,<sos> arda 'l dìh <eos>,<sos> guarda <eos>
e gliùra lé l'à scultàt bé,allora lei ha ascoltato per bene,<sos> e gliùra lé l'à scultàt bé <eos>,<sos> allora lei ha ascoltato per bene <eos>
té uśelì te 'ndé höl cestì dol pà,l'uccellino nel cestino del pane,<sos> té uśelì te 'ndé höl cestì dol pà <eos>,<sos> l'uccellino nel cestino del pane <eos>
la j à dìt essè,ha detto,<sos> la j à dìt essè <eos>,<sos> ha detto <eos>
che l'éå lagàt de déter dólå lànå l'à sunàt la campànå dol meśdé,intanto che è entrata a prendere la lana è suonata la campana del mezzogiorno,<sos> che l'éå lagàt de déter dólå lànå l'à sunàt la campànå dol meśdé <eos>,<sos> intanto che è entrata a prendere la lana è suonata la campana del mezzogiorno <eos>
e lü l'éra 'ndàt e scóndes fò,Giacomino era andato a nascondersi,<sos> e lü l'éra 'ndàt e scóndes fò <eos>,<sos> giacomino era andato a nascondersi <eos>
stüfå,stanca,<sos> stüfå <eos>,<sos> stanca <eos>
ol serpént ål gh'è piö,il serpente non c'è più,<sos> ol serpént ål gh'è piö <eos>,<sos> il serpente non c'è più <eos>
i hìa piö cóha i gh'ìa de fa,non sapevano più cosa fare,<sos> i hìa piö cóha i gh'ìa de fa <eos>,<sos> non sapevano più cosa fare <eos>
e i và,vanno,<sos> e i và <eos>,<sos> vanno <eos>
però me ca to ma spuśet —,però tu dovrai sposarmi —,<sos> però me ca to ma spuśet <eos>,<sos> però tu dovrai sposarmi <eos>
ål ghe 'é 'n mént amò,viene in mente,<sos> ål ghe 'é 'n mént amò <eos>,<sos> viene in mente <eos>
e dòpo la gh'à dìt:,poi le ha detto:,<sos> e dòpo la gh'à dìt <eos>,<sos> poi le ha detto <eos>
arda che la ta ciamarà,ti chiamerà,<sos> arda che la ta ciamarà <eos>,<sos> ti chiamerà <eos>
i maià-a,mangiavano,<sos> i maià-a <eos>,<sos> mangiavano <eos>
éh béh però óter àrdå s-ciào,"— ma sì, guarda",<sos> éh béh però óter àrdå s-ciào <eos>,"<sos> ma sì , guarda <eos>"
pròpe ciùch perchè i à dìt:,proprio brilli perché si erano detti:,<sos> pròpe ciùch perchè i à dìt <eos>,<sos> proprio brilli perché si erano detti <eos>
i à fàt ünå gran' lauràdå èh!,han fatto una gran faticaccia,<sos> i à fàt ünå gran' lauràdå èh ! <eos>,<sos> han fatto una gran faticaccia <eos>
'l mé marito 'l ma öl piö,— mio marito non mi vuole più,<sos> 'l mé marito 'l ma öl piö <eos>,<sos> mio marito non mi vuole più <eos>
'l ga dèrf ol purtù,apre il portone,<sos> 'l ga dèrf ol purtù <eos>,<sos> apre il portone <eos>
'ta 'lura lü,allora Pietro,<sos> 'ta 'lura lü <eos>,<sos> allora pietro <eos>
tön sö,ma prendine,<sos> tön sö <eos>,<sos> ma prendine <eos>
ü fiöl,un giovane,<sos> ü fiöl <eos>,<sos> un giovane <eos>
Śbranafèrro,Sbranaferro,<sos> śbranafèrro <eos>,<sos> sbranaferro <eos>
e dòpo i stà-å pò lé e pensàgå dré chi che püdéå pò é-e fàt chèl laùr lé,poi stavano a pensare chi potesse aver fatto quell'incantesimo,<sos> e dòpo i stà-å pò lé e pensàgå dré chi che püdéå pò é-e fàt chèl laùr lé <eos>,<sos> poi stavano a pensare chi potesse aver fatto quell'incantesimo <eos>
e pòtå i à dìt:,e hanno esclamato:,<sos> e pòtå i à dìt <eos>,<sos> e hanno esclamato <eos>
lü 'l töi hö 'stå àcå,il figlio prende la mucca,<sos> lü 'l töi hö 'stå àcå <eos>,<sos> il figlio prende la mucca <eos>
forse,forse,<sos> forse <eos>,<sos> forse <eos>
ogliùrå,e allora,<sos> ogliùrå <eos>,<sos> e allora <eos>
ü bèl dé 'l gh'è capitàt amò che lü l'è amò pasàt,un giorno è successo che lui è passato ancora,<sos> ü bèl dé 'l gh'è capitàt amò che lü l'è amò pasàt <eos>,<sos> un giorno è successo che lui è passato ancora <eos>
— li ciàf tìgnele perchè la cà te l' regale,"— tieni pure le chiavi, ti regalo la casa",<sos> li ciàf tìgnele perchè la cà te l' regale <eos>,"<sos> tieni pure le chiavi , ti regalo la casa <eos>"
— ah — l'à dìt — i gh'à dìt el rè che mé hére bùnå de 'ndà e tö la clòhå cói pu-ì d'ór,— hanno detto al re che io sono capace di andare a prendere la chioccia coi pulcini d'oro,<sos> ah l'à dìt i gh'à dìt el rè che mé hére bùnå de 'ndà e tö la clòhå cói pu-ì d'ór <eos>,<sos> hanno detto al re che io sono capace di andare a prendere la chioccia coi pulcini d'oro <eos>
öna fàm che 'l gh'ìa,aveva una gran fame,<sos> öna fàm che 'l gh'ìa <eos>,<sos> aveva una gran fame <eos>
"— àrdå, 'l me rencrès nèh","— guarda, mi rincresce","<sos> àrdå , 'l me rencrès nèh <eos>","<sos> guarda , mi rincresce <eos>"
— em fà ü patto,— facciamo un patto,<sos> em fà ü patto <eos>,<sos> facciamo un patto <eos>
'l paha lé,passa,<sos> 'l paha lé <eos>,<sos> passa <eos>
"— próa mò té, 'é mó hà!",— prova tu!,"<sos> próa mò té , 'é mó hà ! <eos>",<sos> prova tu ! <eos>
lé 'l ghe n'è! »,ce n'è tanto! »,<sos> lé 'l ghe n'è ! <eos>,<sos> ce n'è tanto ! <eos>
— éh ma,— eh ma,<sos> éh ma <eos>,<sos> eh ma <eos>
i ma fà quàch eschèrs o isé,e ci fanno qualche scherzo,<sos> i ma fà quàch eschèrs o isé <eos>,<sos> e ci fanno qualche scherzo <eos>
e quàn' che lé la màngiå,quando mangia,<sos> e quàn' che lé la màngiå <eos>,<sos> quando mangia <eos>
— aśnì,— asinello,<sos> aśnì <eos>,<sos> asinello <eos>
— mama mè ché a cà ga stó piö," — mamma, io non resto più",<sos> mama mè ché a cà ga stó piö <eos>,"<sos> mamma , io non resto più <eos>"
— arda,— guarda,<sos> arda <eos>,<sos> guarda <eos>
l'à śgiràt,ha girato,<sos> l'à śgiràt <eos>,<sos> ha girato <eos>
"chela èśgia, scundida",la vecchia nascosta,"<sos> chela èśgia , scundida <eos>",<sos> la vecchia nascosta <eos>
e l'à dìt: — adès té te 'ndaré piö 'n giro,— adesso non andrai più in giro,<sos> e l'à dìt adès té te 'ndaré piö 'n giro <eos>,<sos> adesso non andrai più in giro <eos>
e lü,lui,<sos> e lü <eos>,<sos> lui <eos>
l'è éra che la gh'à miga i bràs,è vero non ha le braccia,<sos> l'è éra che la gh'à miga i bràs <eos>,<sos> è vero non ha le braccia <eos>
'l rìa a cà,giunto a casa,<sos> 'l rìa a cà <eos>,<sos> giunto a casa <eos>
— ada la mé fómna — 'l dìh — la m'à stöfàt tàt,— guarda la mia donna mi ha tanto stancato,<sos> ada la mé fómna 'l dìh la m'à stöfàt tàt <eos>,<sos> guarda la mia donna mi ha tanto stancato <eos>
"nò nò, mé heràe la bórsa ché",chiudevo la borsa qui,"<sos> nò nò , mé heràe la bórsa ché <eos>",<sos> chiudevo la borsa qui <eos>
e la tróå nigü,non trova nessuno,<sos> e la tróå nigü <eos>,<sos> non trova nessuno <eos>
la l'à ardàt,l'ha guardato,<sos> la l'à ardàt <eos>,<sos> l'ha guardato <eos>
e fina ca l'è ri-àda lé apröf a öna fontana,finché è arrivata vicino a una fontana,<sos> e fina ca l'è ri-àda lé apröf a öna fontana <eos>,<sos> finché è arrivata vicino a una fontana <eos>
lé l'ìa hintìt ol còrno,lei ha sentito il corno,<sos> lé l'ìa hintìt ol còrno <eos>,<sos> lei ha sentito il corno <eos>
dài dórma adèh! —,adesso dormi —,<sos> dài dórma adèh ! <eos>,<sos> adesso dormi <eos>
e ü dé,e un giorno,<sos> e ü dé <eos>,<sos> e un giorno <eos>
làghem endà e fà üna śgiràdå — l'à dìt — che,lasciami andare a fare un giro,<sos> làghem endà e fà üna śgiràdå l'à dìt che <eos>,<sos> lasciami andare a fare un giro <eos>
a preparà ergótå,a preparar qualcosa,<sos> a preparà ergótå <eos>,<sos> a preparar qualcosa <eos>
fà cume t'é fàt la prima óltå,fai come la prima volta,<sos> fà cume t'é fàt la prima óltå <eos>,<sos> fai come la prima volta <eos>
e alura,allora /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ,<sos> e alura <eos>,<sos> allora <eos>
che chèl ànimå cunfinàdå la me màngiå?,quell'anima confinata mi mangia,<sos> che chèl ànimå cunfinàdå la me màngiå ? <eos>,<sos> quell'anima confinata mi mangia <eos>
e mé — 'l dìs —,e io,<sos> e mé 'l dìs <eos>,<sos> e io <eos>
'é hà che te fó ède 'ndùe l'è!,vieni che ti faccio vedere dov'è,<sos> 'é hà che te fó ède 'ndùe l'è ! <eos>,<sos> vieni che ti faccio vedere dov'è <eos>
al gh'è ri-àt,ci è riuscito,<sos> al gh'è ri-àt <eos>,<sos> ci è riuscito <eos>
gh'è là öna fómna e i ga dìh:,c'è una donna e le dicono:,<sos> gh'è là öna fómna e i ga dìh <eos>,<sos> c'è una donna e le dicono <eos>
'n d'ü cantunsì el fósch e pò,in un angolino al buio e poi,<sos> 'n d'ü cantunsì el fósch e pò <eos>,<sos> in un angolino al buio e poi <eos>
he l'è contéta lé,è contenta lei,<sos> he l'è contéta lé <eos>,<sos> è contenta lei <eos>
"e gliùra 'l sunì 'l ga dìt esé: hpèta, hpèta —",il maiale ha detto: — aspetta —,"<sos> e gliùra 'l sunì 'l ga dìt esé hpèta , hpèta <eos>",<sos> il maiale ha detto aspetta <eos>
ciàpå 'l sò cestèllo di vimini,prende su il cestello di vimini,<sos> ciàpå 'l sò cestèllo di vimini <eos>,<sos> prende su il cestello di vimini <eos>
però — la dìs — se te fé prèst e mangià,però se fai presto,<sos> però la dìs se te fé prèst e mangià <eos>,<sos> però se fai presto <eos>
la 'à ala finestra,va alla finestra,<sos> la 'à ala finestra <eos>,<sos> va alla finestra <eos>
öt chè?,cosa vuoi?,<sos> öt chè ? <eos>,<sos> cosa vuoi ? <eos>
e i dìh issé: — ma...,e dicono:,<sos> e i dìh issé ma . . . <eos>,<sos> e dicono <eos>
e mé gliùrå ó tentàt de scapà,e io ho tentato di scappare,<sos> e mé gliùrå ó tentàt de scapà <eos>,<sos> e io ho tentato di scappare <eos>
chèl che te ö,quello che vuoi,<sos> chèl che te ö <eos>,<sos> quello che vuoi <eos>
te cuncéde de stà 'n da mé stànså 'nsèmå —,ti concedo di stare nella stanza con me —,<sos> te cuncéde de stà 'n da mé stànså 'nsèmå <eos>,<sos> ti concedo di stare nella stanza con me <eos>
hó stàt streàt... —,sono stato stregato... —,<sos> hó stàt streàt . . . <eos>,<sos> sono stato stregato . . . <eos>
"— hé ma mé edès ghe rìe piö, mé 'l fó jó! —","— adesso non ci riesco più, io la faccio —","<sos> hé ma mé edès ghe rìe piö , mé 'l fó jó ! <eos>","<sos> adesso non ci riesco più , io la faccio <eos>"
gh'è töt 's-ce canhù ch'i canta,tutti suonavano questa canzone,<sos> gh'è töt 's-ce canhù ch'i canta <eos>,<sos> tutti suonavano questa canzone <eos>
e pò dòpo ghe laghe lé,e lascerò,<sos> e pò dòpo ghe laghe lé <eos>,<sos> e lascerò <eos>
la sérå,la sera,<sos> la sérå <eos>,<sos> la sera <eos>
Paulì,Paolino,<sos> paulì <eos>,<sos> paolino <eos>
l'éra di-entada,era ritornata,<sos> l'éra di-entada <eos>,<sos> era ritornata <eos>
la èch ca 'l vé di èśge,vede arrivare delle vecchie,<sos> la èch ca 'l vé di èśge <eos>,<sos> vede arrivare delle vecchie <eos>
e prìmå de ri-à al pùt,prima di arrivare al ponte,<sos> e prìmå de ri-à al pùt <eos>,<sos> prima di arrivare al ponte <eos>
'l se 'ntendéå « hérå fò la pórtå »,intendeva « chiudi la porta »,<sos> 'l se 'ntendéå hérå fò la pórtå <eos>,<sos> intendeva chiudi la porta <eos>
e 'é a' té —,e vieni anche tu —,<sos> e 'é a' té <eos>,<sos> e vieni anche tu <eos>
i camìnå,camminano,<sos> i camìnå <eos>,<sos> camminano <eos>
pica ala pórtå,bussano alla porta,<sos> pica ala pórtå <eos>,<sos> bussano alla porta <eos>
ala pórtå d'la cità,alla porta della città,<sos> ala pórtå d'la cità <eos>,<sos> alla porta della città <eos>
e 'l rìa lé ü cahadùr,e infatti arriva un cacciatore,<sos> e 'l rìa lé ü cahadùr <eos>,<sos> e infatti arriva un cacciatore <eos>
perchè lé la 'ndà-a 'm per töt,perché andava dappertutto,<sos> perchè lé la 'ndà-a 'm per töt <eos>,<sos> perché andava dappertutto <eos>
— ada Piéro,— guarda Pietro,<sos> ada piéro <eos>,<sos> guarda pietro <eos>
ol prìncipe l'èrå sémper triste,il principe era sempre triste,<sos> ol prìncipe l'èrå sémper triste <eos>,<sos> il principe era sempre triste <eos>
ol rè,il re,<sos> ol rè <eos>,<sos> il re <eos>
ma 'ntàt åm patìs a' la fàm! —,— ma intanto patiamo la fame! —,<sos> ma 'ntàt åm patìs a' la fàm ! <eos>,<sos> ma intanto patiamo la fame ! <eos>
ål gh'è üna bèlå estensiù,a una bella distesa,<sos> ål gh'è üna bèlå estensiù <eos>,<sos> a una bella distesa <eos>
anche 'm pó de holdàc,anche un po' di soldati,<sos> anche 'm pó de holdàc <eos>,<sos> anche un po' di soldati <eos>
gliò 'l l'à fàdå jó,l'ha fatta,<sos> gliò 'l l'à fàdå jó <eos>,<sos> l'ha fatta <eos>
tütå érdå,tutta verde,<sos> tütå érdå <eos>,<sos> tutta verde <eos>
"gh'ó ché i hervitùr, gh'è ché töc","ho servitori, ho di tutto","<sos> gh'ó ché i hervitùr , gh'è ché töc <eos>","<sos> ho servitori , ho di tutto <eos>"
— và mìå!,— non andare!,<sos> và mìå ! <eos>,<sos> non andare ! <eos>
e 'nvéce,e invece,<sos> e 'nvéce <eos>,<sos> e invece <eos>
"magher a' chi, ch'i uléå mangialå",anche loro magri e volevano mangiarla,"<sos> magher a' chi , ch'i uléå mangialå <eos>",<sos> anche loro magri e volevano mangiarla <eos>
e giü,e l'altro,<sos> e giü <eos>,<sos> e l'altro <eos>
che lé la harà hentàdå jó e mangià,lei sarà seduta a mangiare,<sos> che lé la harà hentàdå jó e mangià <eos>,<sos> lei sarà seduta a mangiare <eos>
con giöna hcödèla,con una scodella,<sos> con giöna hcödèla <eos>,<sos> con una scodella <eos>
prima te ì à ciapade té,prima le hai prese tu,<sos> prima te ì à ciapade té <eos>,<sos> prima le hai prese tu <eos>
e 'l và jó,cammina,<sos> e 'l và jó <eos>,<sos> cammina <eos>
